source_file,file_date,product_name,price_low,price_high,average_price,unit
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Basmati Rice,190.0,190.0,190.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Glutinous Rice,62.0,62.0,62.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Jasponica/Japonica Rice,62.5,62.5,62.5,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Other Special Rice White Rice,61.4,61.4,61.4,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Premium 5% broken,54.27,54.27,54.27,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Well Milled 1-19% bran streak,46.5,46.5,46.5,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Regular Milled 20-40% bran streak,41.0,41.0,41.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Glutinous Rice,65.0,65.0,65.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Other Special Rice White Rice,58.9,58.9,58.9,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Premium 5% broken,51.45,51.45,51.45,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Well Milled 1-19% bran streak,46.44,46.44,46.44,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Regular Milled 20-40% bran streak,41.88,41.88,41.88,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Corn (White) Cob, Glutinous",85.0,85.0,85.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Corn Grits (Feed Grade),45.0,45.0,45.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Mungbean,133.64,133.64,133.64,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Alumahan (Indian Mackerel) Medium (4-6 pcs/kg),340.0,340.0,340.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Bangus, Large Large (1-2 pcs)",268.0,268.0,268.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Bangus, Medium Medium (3-4 pcs/kg)",244.09,244.09,244.09,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Galunggong, Local Male, Medium (12-14 pcs/kg)",350.0,350.0,350.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Galunggong, Imported Male, Medium (12-14 pcs/kg)",306.67,306.67,306.67,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Pampano, Local",440.0,440.0,440.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Pampano, Imported",401.11,401.11,401.11,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Salmon Belly, Imported",412.86,412.86,412.86,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Salmon Head, Imported",230.0,230.0,230.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Sardines (Tamban),160.0,160.0,160.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Squid (Pusit Bisaya), Local Medium",472.22,472.22,472.22,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Squid, Imported",220.0,220.0,220.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Medium, Fresh or Chilled",348.57,348.57,348.57,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,Tilapia Medium (5-6 pcs/kg),160.91,160.91,160.91,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Brisket, Local Meat with Bones",440.0,440.0,440.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Brisket, Imported",370.0,370.0,370.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Chuck, Local",414.0,414.0,414.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Forequarter, Local",497.5,497.5,497.5,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Fore Limb, Local",472.5,472.5,472.5,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Flank, Local",449.17,449.17,449.17,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Loin, Local",615.0,615.0,615.0,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Plate, Local",393.33,393.33,393.33,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Rib Eye, Local",482.5,482.5,482.5,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Rib Set, Local",423.33,423.33,423.33,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Rump, Local Lean Meat/ Tapadera",490.45,490.45,490.45,kg
0c8c0d46cbe84271be25fb88fe1f4d5a_Daily-Price-Index-February-8-2026.pdf,2026-02-15T07:29:55.134079,"Beef Short Ribs, Local",441.25,441.25,441.25,kg
